Student Name,Student ID,Class Level,Preferred Email
"Amelia, Adams",5315927.0,Sophomore,aamelia@university.edu
"Benjamin, Jackson",5315920.0,Junior,jbenjamin@university.edu
"Benjamin, Lewis",5315912.0,Freshman,lbenjamin@university.edu
"Charlotte, Anderson",5315911.0,Senior,acharlotte@university.edu
"Elijah, Allen",5315909.0,Senior,aelijah2@university.edu
"Elijah, Anderson",5315903.0,Freshman,aelijah@university.edu
"Elijah, Harris",5315919.0,Sophomore,helijah@university.edu
"Elijah, Taylor",5315925.0,Freshman,telijah@university.edu
"Emma, Hall",5315934.0,Senior,hemma@university.edu
"Evelyn, Lee",5315921.0,Junior,levelyn3@university.edu
"Evelyn, Lee",5315914.0,Junior,levelyn@university.edu
"Evelyn, Lewis",5315915.0,Sophomore,levelyn2@university.edu
"Evelyn, White",5315924.0,Junior,wevelyn@university.edu
"Harper, Moore",5315918.0,Sophomore,mharper@university.edu
"Harper, Thomas",5315926.0,Junior,tharper@university.edu
"Isabella, King",5315935.0,Junior,kisabella@university.edu
"Isabella, Taylor",5315905.0,Sophomore,tisabella@university.edu
"Isabella, Thompson",5315929.0,Senior,tisabella2@university.edu
"James, Adams",5315922.0,Junior,ajames@university.edu
"James, Baker",5315916.0,Senior,bjames@university.edu
"Lucas, Baker",5315910.0,Junior,blucas@university.edu
"Mia, Adams",5315907.0,Junior,amia@university.edu
"Mia, Green",5315931.0,Freshman,gmia@university.edu
"Mia, Harris",5315930.0,Junior,hmia@university.edu
"Mia, Lewis",5315900.0,Junior,lmia@university.edu
"Mia, Thompson",5315906.0,Sophomore,tmia@university.edu
"Noah, Adams",5315904.0,Freshman,anoah@university.edu
"Noah, Taylor",5315923.0,Freshman,tnoah@university.edu
"Noah, Young",5315913.0,Sophomore,ynoah@university.edu
"Oliver, Anderson",5315932.0,Junior,aoliver@university.edu
"Oliver, Thompson",5315901.0,Senior,toliver@university.edu
"Oliver, White",5315908.0,Junior,woliver@university.edu
"Sophia, Lee",5315928.0,Junior,lsophia@university.edu
"Sophia, Young",5315933.0,Senior,ysophia@university.edu
"Theodore, Harris",5315902.0,Freshman,htheodore@university.edu
"Theodore, Taylor",5315917.0,Freshman,ttheodore@university.edu
