Student,ID,SIS User ID,SIS Login ID,Section,Written Assignment 0 (158438),Written Assignment 1 (158439),Written Assignment 2 (158444),Written Assignment 4 (158445),Written Assignment 5 (158446),Written Assignment 6 (158447),Written Assignment 8 (158448),Written Assignment 9 (158449),Written Assignment 10 (158440),Written Assignment 12 (158441),Written Assignment 13 (158442),Written Assignment 14 (158443),Webwork 1 (158424),Webwork 2 (158430),Webwork 3 (158431),Webwork 4 (158432),Webwork 5 (158433),Webwork 6 (158434),Webwork 7 (158435),Webwork 8 (158436),Webwork 9 (158437),Webwork 10 (158425),Webwork 11 (158426),Webwork 12 (158427),Webwork 13 (158428),Webwork 14 (158429),Quiz 1 (158413),Quiz 2 (158416),Quiz 3 (158417),Quiz 4 (158418),Quiz 5 (158419),Quiz 6 (158420),Quiz 7 (158421),Quiz 8 (158422),Quiz 9 (158423),Quiz 10 (158414),Exit Slip 0 (158397),Exit Slip 1 (158398),Exit Slip 2 (158450),Exit Slip 3 (158404),Exit Slip 4 (158405),Exit Slip 5 (158406),Exit Slip 6 (158407),Exit Slip 7 (158408),Exit Slip 8 (158409),Exit Slip 9 (158410),Exit Slip 10 (158399),Exit Slip 11 (158400),Exit Slip12 (158411),Exit Slip 13 (158401),Exit Slip 14 (158402),Exit Slip 15 (158451),Exit Slip 16 (158459),Exit Slip 17 (158452),Exit Slip 18 (158458),Exit Slip 19 (158457),Exit Slip 20 (158456),Exit Slip 21 (158455),Exit Slip 23 (158454),Exit Slip 24 (158453),Exit Slip 25 (158460),Exit Slip 26 (158462),Exit Slip 27 (158461),Exit Slip 29 (158463),Exam 1 (158391),Exam 2 (158393),Exam 3 (158395),Final Exam (158412),Written Assingments Current Score,Written Assingments Unposted Current Score,Written Assingments Final Score,Written Assingments Unposted Final Score,Webwork Current Score,Webwork Unposted Current Score,Webwork Final Score,Webwork Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exit Slips Current Score,Exit Slips Unposted Current Score,Exit Slips Final Score,Exit Slips Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Exam 3 Current Score,Exam 3 Unposted Current Score,Exam 3 Final Score,Exam 3 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
Points Possible,,,,,5.0,24.0,23.0,23.0,25.0,28.0,23.0,23.0,27.0,22.0,28.0,25.0,19.0,12.0,29.0,21.0,5.0,12.0,16.0,13.0,16.0,12.0,12.0,12.0,13.0,17.0,9.0,10.0,11.0,7.00,8.00,11.0,11.0,8.0,12.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.00,3.0,3.00,3.0,3.0,3.00,3.00,3.00,3.0,3.00,3.0,60.0,57.0,68.0,120.0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
"Adams, Charlotte",1361520.0,3315920.0,cadams@university.edu,MATH 130 4,5.0,24.0,20.0,19.0,22.0,21.5,22.0,20.0,25.0,22.0,24.0,0.0,18.33,12.0,24.0,21.0,5.0,12.0,16.0,13.0,14.0,12.0,12.0,12.0,13.0,0.0,8.0,9.0,6.5,6.00,5.00,7.5,6.0,0.0,6.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.00,3.00,0.00,3.00,3.0,0.0,3.00,0.0,0.00,3.0,0.0,0.00,3.00,0.00,3.0,0.00,0.0,58.5,49.5,40.0,79.0,81.34,81.34,81.34,81.34,96.01,96.01,96.01,96.01,68.35,68.35,68.35,68.35,68.00,68.00,68.00,68.00,97.50,97.50,97.50,97.50,86.84,86.84,86.84,86.84,58.82,58.82,58.82,58.82,65.83,65.83,65.83,65.83,78.23,78.23,78.23,78.23,C+,C+,C+,C+
"White, Isabella",1361509.0,3315909.0,iwhite@university.edu,MATH 130 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.5,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,37.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.30,22.30,22.30,22.30,8.00,8.00,8.00,8.00,61.67,61.67,61.67,61.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.88,11.88,11.88,11.88,F,F,F,F
"Walker, Theodore",1361518.0,3315918.0,twalker@university.edu,MATH 130 4,5.0,23.5,17.0,21.5,23.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,5.0,20.5,5.0,12.0,16.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.00,8.00,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.00,3.00,0.00,0.00,0.0,0.0,0.00,3.0,0.00,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,30.5,0.0,0.0,0.0,36.59,36.59,36.59,36.59,57.50,57.50,57.50,57.50,24.32,24.32,24.32,24.32,28.00,28.00,28.00,28.00,50.83,50.83,50.83,50.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.33,22.33,22.33,22.33,F,F,F,F
"Walker, Mia",1361524.0,3315924.0,mwalker@university.edu,MATH 130 4,5.0,24.0,15.0,23.0,22.0,27.0,22.0,23.0,27.0,19.0,28.0,25.0,19.0,12.0,28.0,21.0,5.0,12.0,16.0,13.0,16.0,12.0,12.0,9.0,13.0,17.0,8.0,9.0,10.0,7.00,8.00,9.0,10.0,6.5,7.5,9.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,3.00,0.00,3.00,3.00,0.0,3.0,0.00,3.0,0.00,0.0,3.0,3.00,0.00,3.00,3.0,0.00,3.0,54.5,55.5,56.5,111.0,94.20,94.20,94.20,94.20,99.49,99.49,99.49,99.49,91.22,91.22,91.22,91.22,68.00,68.00,68.00,68.00,90.83,90.83,90.83,90.83,97.37,97.37,97.37,97.37,83.09,83.09,83.09,83.09,92.50,92.50,92.50,92.50,91.15,91.15,91.15,91.15,A-,A-,A-,A-
"Thompson, Harper",1361528.0,3315928.0,hthompson@university.edu,MATH 130 4,5.0,24.0,23.0,23.0,25.0,28.0,23.0,21.0,27.0,22.0,26.0,25.0,19.0,12.0,29.0,21.0,5.0,12.0,,13.0,16.0,12.0,12.0,12.0,13.0,17.0,9.0,10.0,4.0,7.50,8.00,0.0,10.5,5.0,6.5,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.00,3.0,3.00,0.0,3.0,0.00,0.00,0.00,3.0,3.00,3.0,64.0,60.0,67.0,107.0,98.55,98.55,98.55,98.55,100.00,100.00,100.00,100.00,88.67,88.67,88.67,88.67,96.00,96.00,96.00,96.00,106.67,106.67,106.67,106.67,105.26,105.26,105.26,105.26,98.53,98.53,98.53,98.53,89.17,89.17,89.17,89.17,98.30,98.30,98.30,98.30,A,A,A,A
"Thomas, William",1361522.0,3315922.0,wthomas@university.edu,MATH 130 4,5.0,24.0,18.0,23.0,24.0,26.5,21.0,23.0,26.0,22.0,28.0,25.0,19.0,12.0,29.0,19.0,5.0,12.0,16.0,13.0,16.0,12.0,12.0,12.0,13.0,17.0,0.0,8.5,5.5,EX,EX,0.0,0.0,4.5,6.0,2.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,EX,EX,EX,0.00,3.0,3.0,3.00,3.0,0.00,0.0,0.0,3.00,3.00,0.00,0.0,0.00,3.0,53.0,57.0,47.0,86.5,96.20,96.20,96.20,96.20,100.00,100.00,100.00,100.00,44.17,44.17,44.17,44.17,59.09,59.09,59.09,59.09,88.33,88.33,88.33,88.33,100.00,100.00,100.00,100.00,69.12,69.12,69.12,69.12,72.08,72.08,72.08,72.08,80.99,80.99,80.99,80.99,B-,B-,B-,B-
"Thomas, Harper",1361514.0,3315914.0,hthomas@university.edu,MATH 130 4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.5,0.0,6.50,7.00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.00,3.00,3.00,3.00,3.0,3.0,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,38.0,22.5,0.0,0.0,1.81,1.81,1.81,1.81,0.00,0.00,0.00,0.00,34.46,34.46,34.46,34.46,52.00,52.00,52.00,52.00,63.33,63.33,63.33,63.33,39.47,39.47,39.47,39.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.72,21.72,21.72,21.72,F,F,F,F
"Scott, Henry",1361519.0,3315919.0,hscott2@university.edu,MATH 130 4,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,7.25,7.25,7.25,7.25,27.22,27.22,27.22,27.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.74,3.74,3.74,3.74,F,F,F,F
"Scott, Harper",1361510.0,3315910.0,hscott@university.edu,MATH 130 4,5.0,12.0,23.0,19.0,24.0,17.5,21.0,17.25,15.0,22.0,28.0,25.0,19.0,11.67,29.0,19.0,5.0,12.0,15.0,12.0,14.0,12.0,12.0,12.0,13.0,15.71,9.0,8.0,9.0,8.50,7.00,10.0,9.0,8.0,4.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,0.00,3.00,3.00,3.0,0.0,3.00,3.0,3.00,3.0,0.0,0.00,3.00,3.00,3.0,3.00,3.0,56.5,58.5,54.5,125.0,82.88,82.88,82.88,82.88,97.09,97.09,97.09,97.09,92.67,92.67,92.67,92.67,96.00,96.00,96.00,96.00,94.17,94.17,94.17,94.17,102.63,102.63,102.63,102.63,80.15,80.15,80.15,80.15,104.17,104.17,104.17,104.17,93.59,93.59,93.59,93.59,A,A,A,A
