Student Name,Student ID,Class Level,Preferred Email
"Adams, Charlotte",3315920.0,Sophomore,cadams@university.edu
"Adams, Lucas",3315905.0,Freshman,ladams@university.edu
"Allen, Charlotte",3315903.0,Junior,callen@university.edu
"Baker, Amelia",3315908.0,Sophomore,abaker@university.edu
"Baker, Mia",3315911.0,Freshman,mbaker@university.edu
"Hall, Charlotte",3315921.0,Junior,chall@university.edu
"Hall, Mia",3315926.0,Senior,mhall@university.edu
"Hall, William",3315904.0,Senior,whall@university.edu
"Hall, William",3315906.0,Freshman,whall2@university.edu
"Harris, Evelyn",3315917.0,Sophomore,eharris@university.edu
"Jackson, Elijah",3315900.0,Junior,ejackson@university.edu
"Jackson, Luna",3315927.0,Junior,ljackson@university.edu
"Jackson, Noah",3315907.0,Freshman,njackson@university.edu
"King, Henry",3315913.0,Sophomore,hking@university.edu
"Lee, Oliver",3315902.0,Senior,olee@university.edu
"Martin, Harper",3315925.0,Senior,hmartin@university.edu
"Moore, Luna",3315915.0,Sophomore,lmoore@university.edu
"Moore, Theodore",3315923.0,Senior,tmoore@university.edu
"Scott, Emma",3315901.0,Junior,escott@university.edu
"Scott, Harper",3315910.0,Sophomore,hscott@university.edu
"Scott, Henry",3315919.0,Junior,hscott2@university.edu
"Thomas, Harper",3315914.0,Senior,hthomas@university.edu
"Thomas, William",3315922.0,Senior,wthomas@university.edu
"Thompson, Harper",3315928.0,Freshman,hthompson@university.edu
"Walker, Mia",3315924.0,Senior,mwalker@university.edu
"Walker, Theodore",3315918.0,Junior,twalker@university.edu
"White, Isabella",3315909.0,Senior,iwhite@university.edu
"White, Noah",3315916.0,Freshman,nwhite@university.edu
"Young, Olivia",3315912.0,Senior,oyoung@university.edu
