Student,ID,SIS User ID,SIS Login ID,Section,Written Assignment 0 (138172),Written Assignment 1 (138173),Written Assignment 2 (138174),Written Assignment 3 (138175),Written Assignment 5 (138180),Written Assignment 6 (138176),Written Assignment 7 (138177),Written Assignment 8 (138178),Written Assignment 10 (138179),Written Assignment 11 (138181),Written Assignment 12 (138182),Exam 3 Study Topics (151270),Written Assignment 14 (138183),Webwork 1 (138295),Webwork 2 (138304),Webwork 3 (138303),Webwork 4 (138302),Webwork 5 (138301),Webwork 6 (138300),Webwork 7 (138299),Webwork 8 (138298),Webwork 9 (138297),Webwork 10 (138296),Webwork 11 (138306),Webwork 12 (138307),Webwork 13 (138305),Webwork 14 (138308),Quiz 1 (138161),Quiz 2 (138162),Quiz 3 (138163),Quiz 4 (138164),Quiz 5 (138165),Quiz 6 (138166),Quiz 7 (138167),Quiz 8 (138168),Quiz 9 (138169),Quiz 10 (138170),Quiz 11 (138171),Exit Slip 0 (138146),Exit Slip 1 (138147),Exit Slip 2 (138148),Exit Slip 3 (138149),Exit Slip 4 (138150),Exit Slip 5 (138151),Exit Slip 6 (138152),Exit Slip 7 (138153),Exit Slip 8 (138154),Exit Slip 9 (138155),Exit Slip 10 (138156),Exit Slip 11 (138157),Exit Slip12 (138158),Exit Slip 13 (138159),Exit Slip 14 (138160),Exam 1 (138142),Exam 2 (138143),Exam 3 (152161),Final Exam (138145),Written Assingments Current Score,Written Assingments Unposted Current Score,Written Assingments Final Score,Written Assingments Unposted Final Score,Webwork Current Score,Webwork Unposted Current Score,Webwork Final Score,Webwork Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exit Slips Current Score,Exit Slips Unposted Current Score,Exit Slips Final Score,Exit Slips Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Exam 3 Current Score,Exam 3 Unposted Current Score,Exam 3 Final Score,Exam 3 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
Points Possible,,,,,10.0,19.0,22.0,23.0,23.0,25.0,28.0,23.0,24.0,25.0,25.0,0.0,25.0,14.0,15.0,7.0,21.0,8.0,15.0,14.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,10.00,11.00,8.0,10.0,13.0,11.0,11.0,13.0,11.0,10.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,75.0,74.0,82.0,111.0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
"Amelia, Adams",2361527.0,5315927.0,aamelia@university.edu,MATH 130 4,10.0,15.5,0.0,0.0,8.5,16.0,20.5,15.5,7.0,17.0,23.0,,24.0,0.0,0.0,0.0,17.83,7.5,15.0,13.0,10.0,14.0,6.75,10.0,13.0,20.0,8.0,8.00,6.00,0.00,4.0,4.5,10.0,11.0,7.5,7.5,5.0,7.0,3.00,3.00,0.00,3.00,3.0,3.0,3.0,3.0,0.0,3.0,3.00,3.00,3.00,3.00,3.0,53.5,64.0,63.0,100.58,57.72,57.72,57.72,57.72,79.46,79.46,79.46,79.46,69.68,69.68,69.68,69.68,100.00,100.00,100.00,100.00,71.33,71.33,71.33,71.33,86.49,86.49,86.49,86.49,76.83,76.83,76.83,76.83,90.61,90.61,90.61,90.61,78.01,78.01,78.01,78.01,C+,C+,C+,C+
"Lucas, Baker",2361510.0,5315910.0,blucas@university.edu,MATH 130 4,10.0,18.0,16.5,17.0,22.0,20.0,28.0,22.0,18.0,0.0,11.0,,14.0,13.0,0.0,5.49,0.0,0.0,15.0,9.5,10.0,11.0,9.0,9.0,13.0,20.0,6.0,7.00,3.00,9.00,5.0,9.0,8.5,6.0,4.0,4.0,6.0,5.5,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,0.0,3.00,3.00,3.00,3.00,3.0,49.0,50.0,52.5,58.4,72.24,72.24,72.24,72.24,73.77,73.77,73.77,73.77,64.52,64.52,64.52,64.52,100.00,100.00,100.00,100.00,65.33,65.33,65.33,65.33,67.57,67.57,67.57,67.57,64.02,64.02,64.02,64.02,52.61,52.61,52.61,52.61,67.01,67.01,67.01,67.01,D,D,D,D
"Mia, Adams",2361507.0,5315907.0,amia@university.edu,MATH 130 4,10.0,19.0,20.0,8.5,8.0,17.5,21.0,19.0,25.0,18.0,25.0,,25.0,14.0,15.0,7.0,18.0,5.0,15.0,15.0,12.0,14.0,9.0,10.0,13.0,20.0,8.0,8.00,7.00,8.00,3.0,8.0,10.5,4.5,5.0,5.5,7.0,3.5,3.00,3.00,0.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,0.00,0.0,57.0,36.5,58.0,66.63,79.41,79.41,79.41,79.41,96.05,96.05,96.05,96.05,65.59,65.59,65.59,65.59,92.31,92.31,92.31,92.31,76.00,76.00,76.00,76.00,49.32,49.32,49.32,49.32,70.73,70.73,70.73,70.73,60.03,60.03,60.03,60.03,71.38,71.38,71.38,71.38,C-,C-,C-,C-
"Mia, Green",2361531.0,5315931.0,gmia@university.edu,MATH 130 4,10.0,15.0,19.0,13.0,15.0,18.0,15.0,22.0,21.0,22.0,25.0,,25.0,14.0,15.0,7.0,21.0,8.0,15.0,15.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,10.00,10.00,6.0,8.0,13.0,9.0,7.5,10.0,11.0,5.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,0.00,3.00,3.00,3.0,78.0,70.0,77.0,109.03,80.88,80.88,80.88,80.88,100.61,100.61,100.61,100.61,89.47,89.47,89.47,89.47,100.00,100.00,100.00,100.00,104.00,104.00,104.00,104.00,94.59,94.59,94.59,94.59,93.90,93.90,93.90,93.90,98.23,98.23,98.23,98.23,95.23,95.23,95.23,95.23,A,A,A,A
"Mia, Harris",2361530.0,5315930.0,hmia@university.edu,MATH 130 4,10.0,19.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,18.75,18.75,,0.0,14.0,15.0,7.0,21.0,6.0,15.0,15.0,12.0,16.0,0.0,10.0,13.0,20.0,8.0,8.00,7.00,11.00,0.0,6.0,9.0,7.0,3.0,0.0,0.5,4.0,3.00,3.00,3.00,0.00,3.0,0.0,3.0,3.0,3.0,0.0,3.00,0.00,3.00,3.00,3.0,54.5,35.0,33.5,51.5,38.05,38.05,38.05,38.05,97.73,97.73,97.73,97.73,59.78,59.78,59.78,59.78,84.62,84.62,84.62,84.62,72.67,72.67,72.67,72.67,47.30,47.30,47.30,47.30,40.85,40.85,40.85,40.85,46.40,46.40,46.40,46.40,57.83,57.83,57.83,57.83,F,F,F,F
"Mia, Thompson",2361506.0,5315906.0,tmia@university.edu,MATH 130 4,10.0,18.0,20.0,21.0,16.5,9.5,7.5,15.0,17.0,15.5,21.0,,21.0,14.0,15.0,0.0,13.83,6.33,11.0,11.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,4.00,9.00,1.5,2.0,9.0,9.0,5.0,12.0,4.0,7.0,3.00,0.00,3.00,3.00,3.0,3.0,0.0,3.0,3.0,3.0,0.00,3.00,0.00,3.00,3.0,53.5,44.0,57.5,90.0,70.59,70.59,70.59,70.59,91.10,91.10,91.10,91.10,68.37,68.37,68.37,68.37,84.62,84.62,84.62,84.62,71.33,71.33,71.33,71.33,59.46,59.46,59.46,59.46,70.12,70.12,70.12,70.12,81.08,81.08,81.08,81.08,73.60,73.60,73.60,73.60,C,C,C,C
"Noah, Adams",2361504.0,5315904.0,anoah@university.edu,MATH 130 4,10.0,19.0,22.0,23.0,17.5,21.0,26.0,19.0,26.0,21.0,25.0,,25.0,14.0,15.0,7.0,21.0,8.0,15.0,13.5,9.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,7.50,10.00,6.5,7.5,13.0,8.5,7.5,12.0,9.0,8.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,68.0,67.0,69.5,111.0,93.57,93.57,93.57,93.57,99.71,99.71,99.71,99.71,86.84,86.84,86.84,86.84,100.00,100.00,100.00,100.00,90.67,90.67,90.67,90.67,90.54,90.54,90.54,90.54,84.76,84.76,84.76,84.76,100.00,100.00,100.00,100.00,92.84,92.84,92.84,92.84,A-,A-,A-,A-
"Noah, Taylor",2361523.0,5315923.0,tnoah@university.edu,MATH 130 4,10.0,0.0,13.5,23.0,23.0,19.0,27.5,19.0,23.0,27.0,0.0,,0.0,0.0,0.0,7.0,21.0,8.0,15.0,13.0,12.0,16.0,9.0,13.0,0.0,20.0,8.0,8.00,8.50,9.00,2.5,9.0,11.0,8.5,10.0,0.0,9.5,8.0,3.00,3.00,0.00,0.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,EX,EX,EX,3.0,70.0,65.5,57.5,95.5,68.01,68.01,68.01,68.01,83.53,83.53,83.53,83.53,85.79,85.79,85.79,85.79,100.00,100.00,100.00,100.00,93.33,93.33,93.33,93.33,88.51,88.51,88.51,88.51,70.12,70.12,70.12,70.12,86.04,86.04,86.04,86.04,83.15,83.15,83.15,83.15,B,B,B,B
"Noah, Young",2361513.0,5315913.0,ynoah@university.edu,MATH 130 4,10.0,9.5,22.0,21.0,0.0,0.0,19.0,21.0,25.0,21.0,23.0,,25.0,14.0,15.0,7.0,0.0,0.0,8.5,13.75,10.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,7.00,11.00,5.0,7.0,9.5,8.5,9.5,9.0,7.0,5.5,3.00,3.00,0.00,3.00,0.0,3.0,3.0,0.0,3.0,3.0,3.00,0.00,3.00,3.00,3.0,71.0,50.0,65.0,99.19,72.24,72.24,72.24,72.24,89.79,89.79,89.79,89.79,78.42,78.42,78.42,78.42,84.62,84.62,84.62,84.62,94.67,94.67,94.67,94.67,67.57,67.57,67.57,67.57,79.27,79.27,79.27,79.27,89.36,89.36,89.36,89.36,81.98,81.98,81.98,81.98,B-,B-,B-,B-
