Student,ID,SIS User ID,SIS Login ID,Section,Written Assignment 0 (158526),Written Assignment 1 (158527),Written Assignment 2 (158532),Written Assignment 3 (158533),Written Assignment 5 (158534),Written Assignment 6 (158535),Written Assignment 7 (158536),Written Assignment 9 (158537),Written Assignment 10 (158528),Written Assignment 12 (158529),Written Assignment 13 (158530),Written Assignment 14 (158531),Webwork 1 (158512),Webwork 2 (158518),Webwork 3 (158519),Webwork 4 (158520),Webwork 5 (158521),Webwork 6 (158522),Webwork 7 (158523),Webwork 8 (158524),Webwork 9 (158525),Webwork 10 (158513),Webwork 11 (158514),Webwork 12 (158515),Webwork 13 (158516),Webwork 14 (158517),Quiz 1 (158501),Quiz 2 (158504),Quiz 3 (158505),Quiz 4 (158506),Quiz 5 (158507),Quiz 6 (158508),Quiz 7 (158509),Quiz 8 (158510),Quiz 9 (158511),Quiz 10 (158502),Exit Slip 0 (158471),Exit Slip 1 (158472),Exit Slip 2 (158482),Exit Slip 3 (158492),Exit Slip 4 (158493),Exit Slip 5 (158494),Exit Slip 6 (158495),Exit Slip 7 (158496),Exit Slip 8 (158497),Exit Slip 9 (158498),Exit Slip 10 (158473),Exit Slip 11 (158474),Exit Slip12 (158499),Exit Slip 13 (158475),Exit Slip 14 (158476),Exit Slip 15 (158477),Exit Slip 16 (158478),Exit Slip 17 (158479),Exit Slip 18 (158480),Exit Slip 19 (158481),Exit Slip 20 (158483),Exit Slip 21 (158484),Exit Slip 23 (158485),Exit Slip 24 (158486),Exit Slip 25 (158487),Exit Slip 26 (158488),Exit Slip 27 (158489),Exit Slip 28 (158490),Exit Slip 29 (158491),Exam 1 (158465),Exam 2 (158467),Exam 3 (158469),Final Exam (158500),Written Assingments Current Score,Written Assingments Unposted Current Score,Written Assingments Final Score,Written Assingments Unposted Final Score,Webwork Current Score,Webwork Unposted Current Score,Webwork Final Score,Webwork Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exit Slips Current Score,Exit Slips Unposted Current Score,Exit Slips Final Score,Exit Slips Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Exam 3 Current Score,Exam 3 Unposted Current Score,Exam 3 Final Score,Exam 3 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
Points Possible,,,,,5.0,20.0,21.0,24.0,26.0,29.0,26.0,25.0,26.0,25.0,29.0,27.0,26.0,17.0,17.0,20.0,17.0,23.0,19.0,23.0,6.0,21.0,25.0,19.0,21.0,25.0,11.0,10.0,9.0,8.00,7.0,14.0,10.0,5.0,13.0,16.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,64.0,87.0,74.0,110.0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
"Baker, William",1531519.0,8315919.0,wbaker@university.edu,MATH 140 1,5.0,20.0,21.0,23.5,23.0,29.0,26.0,25.0,25.0,23.0,26.5,25.0,26.0,17.0,17.0,20.0,17.0,23.0,19.0,23.0,6.0,21.0,25.0,19.0,21.0,25.0,9.0,9.0,9.0,5.00,6.0,12.5,10.0,5.0,7.5,19.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,65.5,83.5,71.5,101.5,96.11,96.11,96.11,96.11,100.00,100.00,100.00,100.00,96.95,96.95,96.95,96.95,100.00,100.00,100.00,100.00,102.34,102.34,102.34,102.34,95.98,95.98,95.98,95.98,96.62,96.62,96.62,96.62,92.27,92.27,92.27,92.27,97.16,97.16,97.16,97.16,A,A,A,A
"Young, Mary",1531502.0,8315902.0,myoung@university.edu,MATH 140 1,5.0,20.0,21.0,24.0,25.0,26.0,27.0,22.0,25.5,24.0,28.0,21.0,26.0,17.0,17.0,20.0,17.0,23.0,18.25,23.0,6.0,20.5,23.8,19.0,21.0,25.0,10.5,9.0,9.0,5.00,7.0,12.5,10.0,5.0,9.0,19.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,0.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,56.0,64.5,57.5,104.5,94.88,94.88,94.88,94.88,99.51,99.51,99.51,99.51,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,87.50,87.50,87.50,87.50,74.14,74.14,74.14,74.14,77.70,77.70,77.70,77.70,95.00,95.00,95.00,95.00,89.33,89.33,89.33,89.33,B+,B+,B+,B+
"Young, John",1531503.0,8315903.0,jyoung@university.edu,MATH 140 1,5.0,20.0,21.0,24.0,24.0,28.0,20.5,18.0,25.5,23.5,26.0,22.5,26.0,17.0,17.0,20.0,17.0,23.0,19.0,23.0,6.0,21.0,25.0,19.0,21.0,25.0,9.5,6.0,9.0,5.00,6.0,10.5,10.0,5.0,11.0,17.75,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.00,3.00,3.00,3.00,3.0,0.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,0.0,46.5,70.5,62.5,85.5,91.17,91.17,91.17,91.17,100.00,100.00,100.00,100.00,92.72,92.72,92.72,92.72,92.31,92.31,92.31,92.31,72.66,72.66,72.66,72.66,81.03,81.03,81.03,81.03,84.46,84.46,84.46,84.46,77.73,77.73,77.73,77.73,84.81,84.81,84.81,84.81,B,B,B,B
"Young, Elizabeth",1531512.0,8315912.0,eyoung@university.edu,MATH 140 1,5.0,20.0,21.0,24.0,23.0,27.5,25.5,23.0,24.0,20.0,27.5,27.0,26.0,17.0,17.0,20.0,17.0,23.0,18.75,23.0,6.0,19.0,25.0,19.0,21.0,25.0,8.0,9.0,9.0,6.50,6.0,13.0,9.0,5.0,1.0,17.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,EX,3.00,3.00,3.00,0.0,3.0,3.0,3.0,3.00,0.0,3.0,3.0,0.00,3.0,3.00,0.00,3.0,57.0,74.5,63.0,72.0,94.52,94.52,94.52,94.52,99.90,99.90,99.90,99.90,94.94,94.94,94.94,94.94,96.00,96.00,96.00,96.00,89.06,89.06,89.06,89.06,85.63,85.63,85.63,85.63,85.14,85.14,85.14,85.14,65.45,65.45,65.45,65.45,86.96,86.96,86.96,86.96,B,B,B,B
"Walker, Linda",1531523.0,8315923.0,lwalker@university.edu,MATH 140 1,5.0,18.5,21.0,23.0,26.0,25.0,25.0,25.0,26.0,23.0,28.5,27.0,26.0,15.5,17.0,20.0,17.0,21.25,15.75,23.0,6.0,21.0,25.0,19.0,0.0,25.0,9.0,10.0,9.0,8.00,7.0,12.0,9.0,5.0,9.5,18.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.00,3.00,3.00,,3.0,0.0,3.0,3.0,3.00,3.0,3.0,3.0,0.00,0.0,0.00,3.00,3.0,56.5,68.5,65.0,84.0,96.47,96.47,96.47,96.47,97.48,97.48,97.48,97.48,98.73,98.73,98.73,98.73,88.00,88.00,84.62,84.62,88.28,88.28,88.28,88.28,78.74,78.74,78.74,78.74,87.84,87.84,87.84,87.84,76.36,76.36,76.36,76.36,87.97,87.97,87.80,87.80,B+,B+,B+,B+
"Thompson, William",1531525.0,8315925.0,wthompson@university.edu,MATH 140 1,5.0,20.0,20.5,24.0,26.0,28.0,25.0,22.0,26.0,25.0,25.0,26.5,26.0,17.0,17.0,20.0,17.0,23.0,19.0,23.0,6.0,21.0,25.0,19.0,21.0,25.0,10.0,9.0,7.0,7.50,6.0,13.0,10.0,5.0,12.0,17.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,51.0,80.0,69.5,94.5,96.47,96.47,96.47,96.47,100.00,100.00,100.00,100.00,96.55,96.55,96.55,96.55,100.00,100.00,100.00,100.00,79.69,79.69,79.69,79.69,91.95,91.95,91.95,91.95,93.92,93.92,93.92,93.92,85.91,85.91,85.91,85.91,91.74,91.74,91.74,91.74,A-,A-,A-,A-
"Thompson, Mary",1531506.0,8315906.0,mthompson@university.edu,MATH 140 1,5.0,20.0,21.0,23.5,25.0,29.0,27.5,25.0,26.0,24.0,29.0,27.0,26.0,17.0,17.0,20.0,17.0,23.0,19.0,22.0,6.0,21.0,25.0,19.0,21.0,25.0,11.0,9.0,8.0,8.00,7.0,14.0,10.0,5.0,13.0,19.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,70.5,85.5,77.0,107.0,99.65,99.65,99.65,99.65,100.00,100.00,100.00,100.00,103.57,103.57,103.57,103.57,100.00,100.00,100.00,100.00,110.16,110.16,110.16,110.16,98.28,98.28,98.28,98.28,104.05,104.05,104.05,104.05,97.27,97.27,97.27,97.27,101.74,101.74,101.74,101.74,A,A,A,A
"Thompson, John",1531524.0,8315924.0,jthompson2@university.edu,MATH 140 1,5.0,19.0,21.0,0.0,20.5,27.5,26.0,25.0,0.0,0.0,0.0,27.0,26.0,17.0,0.0,0.0,14.0,23.0,19.0,23.0,5.75,0.0,0.0,0.0,0.0,25.0,6.5,10.0,0.0,6.00,7.0,11.0,8.0,0.0,4.5,15.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,0.0,3.00,3.0,3.0,0.0,3.00,3.0,3.00,3.00,3.0,39.0,85.0,34.5,99.6,60.42,60.42,60.42,60.42,60.14,60.14,60.14,60.14,78.40,78.40,78.40,78.40,100.00,100.00,100.00,100.00,60.94,60.94,60.94,60.94,97.70,97.70,97.70,97.70,46.62,46.62,46.62,46.62,90.55,90.55,90.55,90.55,72.59,72.59,72.59,72.59,C-,C-,C-,C-
"Thompson, Jennifer",1531508.0,8315908.0,jthompson@university.edu,MATH 140 1,5.0,20.0,21.0,24.0,24.0,28.0,23.0,25.0,0.0,21.5,0.0,0.0,26.0,16.0,17.0,4.0,0.0,21.33,19.0,23.0,6.0,0.0,21.0,19.0,21.0,13.0,7.0,7.5,8.0,7.00,6.0,0.0,10.0,5.0,11.5,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,0.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,57.5,75.0,62.5,73.24,67.67,67.67,67.67,67.67,79.97,79.97,79.97,79.97,89.74,89.74,89.74,89.74,100.00,100.00,100.00,100.00,89.84,89.84,89.84,89.84,86.21,86.21,86.21,86.21,84.46,84.46,84.46,84.46,66.58,66.58,66.58,66.58,81.17,81.17,81.17,81.17,B-,B-,B-,B-
